# samples,smse,msll,nlpd,rmse,mae
50.00000000,0.48893111,-0.31496177,5.02019632,34.17868944,25.52244502
54.00000000,0.47198994,-0.33147429,4.99590455,33.58133371,24.36886826
59.00000000,0.46038079,-0.35124375,4.97118566,33.16577605,23.55794266
64.00000000,0.44595114,-0.38229644,4.94345372,32.64188347,22.55430024
71.00000000,0.43897704,-0.42913791,4.91240694,32.38563896,22.09821028
83.00000000,0.39309645,-0.46466675,4.84589919,30.64651745,20.98386890
87.00000000,0.39326946,-0.48385194,4.83515695,30.65326086,20.98283909
96.00000000,0.35289423,-0.54350563,4.77620748,29.03714046,19.03257262
101.00000000,0.34010063,-0.56827788,4.74748670,28.50593463,18.51489972
111.00000000,0.25251102,-0.66816672,4.65586968,24.56245309,16.50476320
117.00000000,0.22067863,-0.72768664,4.61403469,22.96210565,15.76112309
133.00000000,0.19509466,-0.80838149,4.53457406,21.59008027,14.39099465
137.00000000,0.19320216,-0.81564435,4.52070609,21.48510876,14.24871459
147.00000000,0.19098250,-0.83751379,4.48701037,21.36133343,14.14855663
150.00000000,0.19060917,-0.84387425,4.47846968,21.34044479,14.14052523
160.00000000,0.16433104,-0.90878450,4.41890963,19.81487673,13.43902694
164.00000000,0.16253459,-0.92444532,4.41066347,19.70627155,13.37773233
169.00000000,0.15974731,-0.93573675,4.40423435,19.53657132,13.28396127
173.00000000,0.15239634,-0.95856479,4.38769528,19.08177791,13.07414454
178.00000000,0.14742202,-0.98681419,4.37606184,18.76777322,12.90011788
181.00000000,0.14458078,-0.99912742,4.37037963,18.58603909,12.78007142
184.00000000,0.14319300,-1.00602859,4.36710981,18.49662408,12.70582730
187.00000000,0.14120606,-1.01443742,4.36168760,18.36784661,12.59461372
192.00000000,0.13817548,-1.02958325,4.34969967,18.16967061,12.44260279
195.00000000,0.13391273,-1.04892820,4.33560842,17.88720574,12.32670615
200.00000000,0.13416296,-1.07476079,4.31703391,17.90391003,12.31044138
205.00000000,0.13328673,-1.11320906,4.29289366,17.84534833,12.29311247
208.00000000,0.13326806,-1.14356690,4.27893216,17.84409835,12.30305904
212.00000000,0.13376879,-1.17107459,4.26289681,17.87759009,12.32887583
215.00000000,0.13181408,-1.19235840,4.24826406,17.74649021,12.29379600
218.00000000,0.13135296,-1.20894141,4.23710044,17.71542190,12.27296657
222.00000000,0.13133897,-1.22543126,4.22420684,17.71447856,12.26540391
224.00000000,0.12998065,-1.23174205,4.21626983,17.62263795,12.20110516
227.00000000,0.12965403,-1.23246713,4.20813802,17.60048292,12.22254304
231.00000000,0.12633513,-1.24604347,4.19239469,17.37375273,12.00369407
238.00000000,0.12347627,-1.27304425,4.17555494,17.17605068,11.85751918
240.00000000,0.11300208,-1.29735370,4.16131781,16.43140843,11.59363713
245.00000000,0.11089235,-1.31737110,4.14933581,16.27729979,11.52762135
251.00000000,0.11038067,-1.33976494,4.13894286,16.23970302,11.50510833
253.00000000,0.11049121,-1.34662768,4.13599406,16.24783287,11.51656706
257.00000000,0.11060737,-1.35502269,4.13100632,16.25637083,11.52918851
259.00000000,0.11070192,-1.35936154,4.12850861,16.26331772,11.53570171
262.00000000,0.11068440,-1.36457723,4.12480831,16.26203058,11.53685349
265.00000000,0.10902536,-1.37618528,4.11897623,16.13969531,11.47156057
267.00000000,0.10892237,-1.38280337,4.11659365,16.13207016,11.46493471
271.00000000,0.10894751,-1.38285400,4.11196388,16.13393178,11.45270716
274.00000000,0.10868983,-1.38475031,4.10757999,16.11484133,11.44376631
280.00000000,0.10787250,-1.39340381,4.09803180,16.05413582,11.40320154
283.00000000,0.10786332,-1.39532020,4.09408928,16.05345289,11.40694808
287.00000000,0.10750002,-1.40259791,4.08900374,16.02639504,11.39523148
291.00000000,0.10680939,-1.41076016,4.08558458,15.97483143,11.38050235
295.00000000,0.10388510,-1.42961381,4.07658970,15.75462966,11.29864893
299.00000000,0.10359496,-1.43933893,4.07589772,15.73261420,11.28590684
301.00000000,0.10288624,-1.44536900,4.07388990,15.67870571,11.26656620
